,So_bua_sang,An_theo_y_thich,Uong_sua_truoc_ngu,Hau_an,Thoi_gian_an,Luong_an,Thich_ngot,Thich_beo,Thich_nac,Thich_trung,Thich_rau_hoaqua,Gio_di_ngu,Gio_thuc_day,Time_ngu_toi,So_lan_an_ngucoc,So_lan_an_dam,So_lan_an_Sua,So_lan_an_banh_keo,So_lan_uong_nuoc_ngot,Vandong_o_truong,Time_van_dong_manh,Thich_van_dong,Time_xemTV_ngoichoi,BMI
Thich_rau_hoaqua,0.013976549418519136,0.006230535081674812,-0.03580956980340837,0.01717402881141505,0.0030136782015635546,0.26936778322627936,-0.3045647095109603,-0.23338579707325569,0.36036833911219895,-0.26853922565915267,1.0,0.0715728245838722,0.10447336886895037,0.023110061102030142,0.04350875142331249,0.05678058807715042,0.024965123922211906,-0.014933847776248595,-0.02692942007179652,0.03380245888657619,-0.055376074163111313,0.36527023081615806,0.0052211906271898995,0.27817970811424386
Gio_di_ngu,-0.014029964394876537,0.04284500707640679,-0.4825694025315339,0.2158467657633806,0.11978639892364729,0.07125010276054655,-0.3595653478305078,-0.15236005431780558,0.1632321775290236,-0.3452506948451075,0.0715728245838722,1.0,0.02484306994540363,-0.035152288700808415,-0.22342859442406607,-0.19436910561886675,-0.40413186607020807,0.4059769746630039,0.36201828953830456,-0.5317456205329767,0.2816755661295731,-0.09027076569430892,-0.4696569324271436,0.06663255647647252
Gio_thuc_day,-0.04815615716884415,-0.03642254803113521,0.09661280145877006,-0.06492296942860888,0.008609253123772205,-0.037513825458891446,0.03203427789531338,0.012699977886071542,0.08503984337332808,0.06672782643796507,0.10447336886895037,0.02484306994540363,1.0,0.2338421589152693,0.10248931589146541,0.13553095840272303,0.17084274997994506,-0.1255574274071158,-0.10656006259003445,0.1768253056150063,-0.14293312274020162,0.08084119469536252,0.08736207828548559,0.06151667668760232
Time_ngu_toi,0.02760133658865617,0.013222204299584109,-0.417885216906904,0.14511147723871154,0.07031176109216902,-0.06735513661718823,-0.26833426561816565,-0.13134775035984803,0.027128980824368393,-0.2698027665526275,0.023110061102030142,-0.035152288700808415,0.2338421589152693,1.0,-0.12234142742547864,-0.16519331462372874,-0.35256780235949015,0.30397174396858156,0.24859169017509147,-0.44972744497293876,0.2808108230253742,-0.1374967464006505,-0.35226278089024937,-0.011413185414020024
So_lan_an_ngucoc,-0.00965763265445357,0.010447971293818196,0.28777970746695825,-0.10546196819395248,-0.022309836012851664,-0.012234383083317212,0.19909368607056382,0.13970710654314947,0.06905312973207935,0.22353087419393927,0.04350875142331249,-0.22342859442406607,0.10248931589146541,-0.12234142742547864,1.0,0.8463187438032996,0.7031320546748245,-0.27193867981841485,-0.24060810473115768,0.3189216565372298,-0.1453932495595388,0.04965454704716784,0.24530384941275027,-0.001322099764080668
So_lan_an_dam,-0.007119287650067827,0.01065399175807205,0.2904429147125,-0.13638474362870415,-0.060072444640084245,-0.03426964638015045,0.20034987186658304,0.12977585706970993,0.08799514081141235,0.22738099568935868,0.05678058807715042,-0.19436910561886675,0.13553095840272303,-0.16519331462372874,0.8463187438032996,1.0,0.7076600683278202,-0.17843419779912867,-0.20752447766376195,0.3331813269617233,-0.14222235800956326,0.028220218755553007,0.2690583166504425,0.002909540949910813
So_lan_an_Sua,-0.0001844813652274033,-0.008859122791707865,0.5399794681312917,-0.23001281246542346,-0.12356858948136687,-0.021360051916909296,0.37794085740227534,0.18181364642937156,-0.014597019764601905,0.37330432768033506,0.024965123922211906,-0.40413186607020807,0.17084274997994506,-0.35256780235949015,0.7031320546748245,0.7076600683278202,1.0,-0.3635794289413231,-0.34161180859208595,0.6103836839804464,-0.3163838933074366,0.14584962293273593,0.5313751875891785,0.006182758748936421
So_lan_an_banh_keo,0.012544267275045148,-0.011760950540967931,-0.5400192537034293,0.27328030461651287,0.24302687885038401,0.060093701602072835,-0.2997184394559845,-0.171913146399701,0.016644734589192973,-0.3199159433563387,-0.014933847776248595,0.4059769746630039,-0.1255574274071158,0.30397174396858156,-0.27193867981841485,-0.17843419779912867,-0.3635794289413231,1.0,0.7738169419266212,-0.6903869504069398,0.46643708085223784,-0.1662822700796511,-0.34076301235684453,0.06798237387551309
So_lan_uong_nuoc_ngot,0.009223609833864822,-0.024546875657261134,-0.4983837791476428,0.2233219575040524,0.21555860865664647,0.05330487434939849,-0.30183229528034483,-0.15520192474676775,-0.03551587855232637,-0.30458964888436046,-0.02692942007179652,0.36201828953830456,-0.10656006259003445,0.24859169017509147,-0.24060810473115768,-0.20752447766376195,-0.34161180859208595,0.7738169419266212,1.0,-0.6378195984633165,0.40832996014774436,-0.07895642187056078,-0.2981343415979238,0.08157054124583772
Vandong_o_truong,-0.042495210029667614,0.019163352934139625,0.6810168176832676,-0.3201849316207328,-0.3421264510318723,0.006344155772538925,0.392259884162861,0.1509115437135402,0.0008442594838645682,0.4022280479899969,0.03380245888657619,-0.5317456205329767,0.1768253056150063,-0.44972744497293876,0.3189216565372298,0.3331813269617233,0.6103836839804464,-0.6903869504069398,-0.6378195984633165,1.0,-0.7474688613077838,0.2759340488215116,0.5113074067024749,0.03215195588638156
